IMDB,ID,Title,Genre,Tags,Director,Cast,Language,Rating
3168230,135288,Mr. Holmes (2015) ,"['Drama', 'Mystery']","['son', 'memory', 'mother', 'nest', 'anger']",Bill Condon,"['Ian McKellen', 'Laura Linney', 'Milo Parker', 'Hiroyuki Sanada', 'Hattie Morahan', 'Patrick Kennedy', 'Roger Allam', 'Phil Davis', 'Frances de la Tour', 'Charles Maddox', 'Takako Akashi', 'Zak Shukor', 'John Sessions', 'Michael Culkin', 'David Foxxe']",English,6.9
0972542,135290,Aachi & Ssipak (2006) ,"['Animation', 'Action', 'Comedy', 'Crime', 'Sci-Fi']","['2d animation', 'adult animation', 'anime', 'future', 'porn star']",Jo Beom-jin,"['Nick Ainsworth', 'Hyeon-yeong', 'Zack Keller', 'Gyu-hwa Lee', 'Gyu-hyeong Lee', 'Chang Jung Lim', 'In-yong Oh', 'Hye-jeong Seo', 'Hae-chol Shin', 'Ed Skudder']",Korean,6.8
2567000,135292,Bite Size (2014) ,"['Documentary', 'Drama', 'Family']","['obesity', 'health', 'weight loss', 'children', 'childhood obesity']",Corbin Billings,"['Davion Bland', 'Moy Gutierrez', 'Emily Patrick', 'KeAnna Pollard', 'Alexandra Wright']",English,6.1
2582752,135294,Snayper. Oruzhie vozmezdiya             ,"['Action', 'Drama', 'Romance', 'War']","['sniper', 'world war two', 'red army', 'nazi soldier', 'wehrmacht']",Dmitriy Pevtsov,"['Dmitriy Pevtsov', 'Mariya Mironova', 'Alina Sergeeva', 'Sergey Belyaev', 'Joachim Paul Assböck', 'Pawel Delag', 'Anna Khitrik', 'Aleksandr Efremov', 'Boris Gergalov', 'Pavel Yuzhakov-Kharlanchuk', 'Ivan Matskevich', 'Anatoliy Terpitskiy', 'Oksana Lesnaya', 'Vladas Bagdonas', 'Darya Efremova', 'Alesya Pukhovaya', 'Oleg Tkachyov', 'Andrey Shilko', 'Andrey Dushechkin', 'Maksim Krechetov', 'Mikhail Esman', 'Kirill Goncharov', 'Mikhail Klimenko', 'Artur Ilinykh', 'Aleksandr Tkachenok', 'Vladimir Mishchanchuk', 'Valeriy Zhuravlyov', 'Evgeniy Angalevich', 'S. Anoshko', 'Stanislav Artemyev', 'Alyona Astapovich', 'S. Barnyuk', 'Aleksey Barykin', 'Anton Khatkevich', 'Sergey Kokhanovich', 'Aleksey Kostyuchenko', 'Igor Kostyuchenko', 'Vitaliy Kruglik', 'Aleksey Kudin', 'Andrey Kureychik', 'A. Kuznetsova', 'Fyodor Larionov', 'E. Luchenok', 'A. Lutitskiy', 'Konstantin Mikhalenko', 'I. Misnikevich', 'R. Paulich', 'Pavel Pivovarchik', 'Viktor Pluzhnikov', 'Viktor Polesov', 'Sergey Prokopich', 'A. Romanchik', 'M. Seletov', 'Aleksey Senchilo', 'German Shprigov', 'D. Simonchik', 'Viktor Smirnov', 'Evgeniy Soroko', 'Mikhail Stepanov', 'I. Tolkachyov', 'V. Tumarovich', 'Oleg Veber', 'Denis Vorontsov', 'Eduard Voznovich', 'Mikhail Yushkevich', 'Vladimir Yushko', 'Valeriy Zelenskiy', 'S. Zelinskiy', 'Andrey Zolotaryov']",Russian,6.2
0087520,135296,The Twin (1984) ,['Comedy'],"['foreign language adaptation', 'twin actresses for twin sisters', 'based on novel']",Yves Robert,"['Pierre Richard', 'Jean-Pierre Kalfon', 'Camilla More', 'Carey More', 'Jacques Frantz', 'Françoise Dorner', 'Jean-Pierre Castaldi', 'Paul Le Person', 'Isabelle Strawa', 'Jean-Claude Bouillaud', 'Henri Labussière', 'Paul Claudon', 'Gérald Calderon', 'Alain Huylebroeck', 'Andréa Ferréol']",French,6.1
2434800,135298,Les coquillettes (2012) ,"['Comedy', 'Drama']","['f rated', 'food in title', 'friendship between women']",Sophie Letourneur,"['Camille Genaud', 'Carole Le Page', 'Sophie Letourneur', 'Julien Gester', 'Eugenio Renzi', 'Louis-Do de Lencquesaing', 'Isabelle Regnier', 'Camille Rutherford', 'Lolita Chammah', 'Barbara Schölnberger', 'Florence Alexandre', 'Isabelle Mayor', 'Chloé Lorenzi', 'Fabienne Hanclot', 'Caroline Deruas-Garrel']",French,5.0
1509742,135300,La vie au ranch (2009) ,"['Comedy', 'Drama']",['f rated'],Sophie Letourneur,"['Sarah-Jane Sauvegrain', 'Eulalie Juster', 'Mahault Mollaret', 'Elsa Pierret', 'Jade Tong Cuong', 'Angèle Ferreux', 'Rafaël Wallon', 'Sacha Naigard', 'Vincent Steinebach', 'Benjamin Siksou', 'Raphaël Haberberg', 'Wladimir Schall', 'Aurélien Dirler', 'Aurélien Bonnetain', 'Éric Jolivalt']",French,5.3
0045247,135304,Totò a colori (1952) ,['Comedy'],['comic'],Steno,"['Totò', 'Isa Barzizza', 'Fulvia Franco', ""Rocco D'Assunta"", 'Vittorio Caprioli', 'Virgilio Riento', 'Alberto Bonucci', 'Luigi Pavese', 'Anna Vita', 'Galeazzo Benti', 'Mario Castellani', 'Rosita Pisano', 'Armando Migliari', 'Bruno Corelli', 'Guglielmo Inglese']",Italian,7.0
0045910,135310,Le infedeli (1953) ,"['Comedy', 'Drama']","['italy', 'diamond necklace', 'tennis', 'theft', 'suicide']",Mario Monicelli,"['Gina Lollobrigida', 'May Britt', 'Pierre Cressoy', 'Tina Lattanzi', 'Carlo Romano', 'Irene Papas', 'Charles Fawcett', 'Paolo Ferrara', 'Giulio Calì', 'Margherita Bagni', 'Tania Weber', 'Juan Carlos Lamas', 'Beniamino Fossati', 'Marina Vlady', 'Anna Maria Ferrero']",Italian,6.5
0044141,135312,Totò e i re di Roma (1952) ,"['Comedy', 'Drama']","['parrot', 'minister', 'humiliation', 'rome italy', 'theater']",Mario Monicelli,"['Totò', 'Anna Carena', 'Alberto Sordi', 'Aroldo Tieri', 'Giulio Stival', 'Giovanna Pala', 'Ernesto Almirante', 'Pietro Carloni', 'Eduardo Passarelli', 'Marisa Finiani', 'Gianni Musy', 'Anna Vita', 'Ada Mari', 'Eva Vanicek', 'Francesca Pietrosi']",Italian,6.5
0047025,135314,Un giorno in pretura (1954) ,"['Comedy', 'Drama']","['italy', 'prostitute', 'priest', 'lawyer', 'pimp']",Steno,"['Peppino De Filippo', 'Silvana Pampanini', 'Alberto Sordi', 'Sophia Loren', 'Tania Weber', 'Leopoldo Trieste', 'Armenia Balducci', 'Virgilio Riento', 'Giulio Calì', 'Turi Pandolfini', 'Vincenzo Talarico', 'Ubaldo Lay', 'Amalia Pellegrini', 'Cesare Bettarini', 'Bianca Maria Cerasoli']",Italian,6.5
0046705,135316,Un americano a Roma (1954) ,['Comedy'],"['visa', 'embassy', 'italy', 'united states of america', 'post war']",Steno,"['Alberto Sordi', 'Maria Pia Casilio', 'Ilse Peterson', 'Anita Durante', 'Giulio Calì', 'Galeazzo Benti', 'Carlo Delle Piane', ""Rocco D'Assunta"", 'Ivy Nicholson', 'Charles Fawcett', 'Caterine Alcajde', 'Archibald L. Lyall', 'Vincenzo Talarico', 'Luigi Giacosi', 'Salvo Libassi']",Italian,7.0
0053333,135334,I tartassati (1959) ,['Comedy'],['well'],Steno,"['Totò', 'Aldo Fabrizi', 'Cathia Caro', 'Luciano Marin', 'Anna Campori', 'Nando Bruno', 'Miranda Campa', 'Fernand Sardou', 'Anna Maria Bottini', 'Ciccio Barbi', 'Piera Arico', 'Ignazio Leone', 'Gianna Cobelli', 'Lamberto Antinori', 'Louis de Funès']",Italian,7.1
0053340,135336,Tempi duri per i vampiri (1959) ,"['Comedy', 'Horror']","['psychotronic film', 'castle', 'vampire', 'vampire comedy']",Steno,"['Renato Rascel', 'Sylva Koscina', 'Lia Zoppelli', 'Kai Fischer', 'Franco Scandurra', 'Carl Wery', 'Antje Geerk', 'Federico Collino', 'Susanne Loret', 'Angelo Zanolli', 'Antonio Mambretti', 'Ivana Gilli', 'Franco Giacobini', 'Fiorella Ferrero', 'Francesco Tensi']",Italian,5.1
0054023,135338,Letto a tre piazze (1960) ,['Comedy'],[],Steno,"['Totò', 'Peppino De Filippo', 'Nadia Gray', 'Cristina Gaioni', 'Aroldo Tieri', 'Gabriele Tinti', 'Cesare Fantoni', 'Angela Luce', 'Paolo Ferrara', 'Mario Castellani', 'Winni Riva', 'Nico Pepe', 'Bruno Scipioni']",Italian,6.9
0056604,135340,Totò diabolicus (1962) ,['Comedy'],[],Steno,"['Totò', 'Raimondo Vianello', 'Nadia Sanders', 'Luigi Pavese', 'Mario Castellani', 'Peppino De Martino', 'Giulio Marchetti', 'Franco Giacobini', 'Pietro De Vico', 'Mimmo Poli', 'Béatrice Altariba']",Italian,6.9
0122675,135342,Psycosissimo (1961) ,['Comedy'],[],Steno,"['Ugo Tognazzi', 'Raimondo Vianello', 'Edy Vessel', 'Monique Just', 'Spyros Fokas', 'Francesco Mulè', 'Leonardo Severini', 'Nerio Bernardi', 'Renato Montalbano', 'Franca Marzi']",Italian,5.8
0056020,135344,Copacabana Palace (1962) ,"['Drama', 'Adventure', 'Crime', 'Musical']","['affair', 'stewardess', 'robber', 'infidelity', 'homosexual']",Steno,"['Sylva Koscina', 'Walter Chiari', 'Mylène Demongeot', 'Paolo Ferrari', 'Gloria Paul', 'Raymond Bussières', 'Claude Rich', 'Franco Fabrizi', 'Jaime Aragon', 'Ruggero Baldi', 'Denise Barreto', 'Ciro Bassini', 'Luiz Bonfá', 'Laura Brown', 'Tônia Carrero']",Italian,5.4
0055936,135348,I due colonnelli (1963) ,['Comedy'],"['german army', 'german', 'colonel', 'bombing', 'army']",Steno,"['Totò', 'Walter Pidgeon', 'Nino Taranto', 'Scilla Gabel', 'Toni Ucci', 'Adriana Facchetti', 'Nino Terzo', 'Francis Lane', 'Sergio Bixio', 'Giancarlo Maestri', 'Gérard Herter', 'Andrea Scotti', 'Nino Nini', 'Adriano Buzzanca', 'Antonio Devi']",Italian,7.1
0057594,135350,Totò contro i quattro (1963) ,['Comedy'],[],Steno,"['Totò', 'Peppino De Filippo', 'Aldo Fabrizi', 'Nino Taranto', 'Erminio Macario', ""Ugo D'Alessio"", 'Rossella Como', 'Nino Terzo', 'Mario Castellani', 'Ivy Olsen', 'Pietro Carloni', 'Mario De Simone', 'Carlo Delle Piane', 'Dany París']",Italian,6.5
0058217,135352,Gli eroi del West (1964) ,"['Comedy', 'Western']","['spaghetti western', 'italo western']",Steno,"['Walter Chiari', 'Raimondo Vianello', 'Silvia Solar', 'Beni Deus', 'María Andersen', 'Tomás Blanco', 'Miguel del Castillo', 'Bruno Scipioni', 'Mónica Randall', 'Juan Antonio Peral', 'Mercedes Lobato', 'Xan das Bolas', 'Santiago Rivero', 'Adolfo Arlés', 'Antonio Jiménez Escribano']",Italian,5.4
0059218,135354,I gemelli del Texas (1964) ,"['Comedy', 'Western']","['spaghetti western', 'italo western', 'twins', 'texas']",Steno,"['Walter Chiari', 'Raimondo Vianello', 'Diana Lorys', 'Alfonso Rojas', 'Miguel del Castillo', 'Bruno Scipioni', 'Liana Del Balzo', 'Carmen Esbrí', 'Eugenio Galadini', 'Tito García', 'Marta May', 'Guillermo Méndez', 'Joaquín Pamplona', 'Franca Polesello', 'Umberto Raho']",Italian,5.9
