IMDB,ID,Title,Genre,Tags,Director,Cast,Language,Rating
0037150,158471,Once Upon a Time (1944) ,"['Comedy', 'Fantasy']","['dancing caterpillar', 'trapeze artist', 'passenger', 'subway', 'show girl']",Alexander Hall,"['Cary Grant', 'Janet Blair', 'James Gleason', 'Ted Donaldson', 'William Demarest']",English,6.1
2383662,158476,"Papita, maní, tostón (2013) ","['Comedy', 'Drama', 'Romance', 'Sport']",[],Luis Carlos Hueck,"['Jean Pierre Agostini De Risi', 'Juliette Pardau', 'Miguel Ángel Landa', 'Vicente Peña', 'Vantroy Sánchez', 'Juan Andres Belgrave', 'José Roberto Díaz', 'Antonieta Colón', 'Elias Muñoz', 'Ana Terrero', 'Amanda Key', 'Emilio Lovera', 'Ruggiero Orlando', 'José Quijada', 'Mascioli Zapata']",Spanish,6.5
0049661,158478,Raw Edge (1956) ,"['Romance', 'Western']",[],John Sherwood,"['Rory Calhoun', 'Yvonne De Carlo', 'Mara Corday', 'Neville Brand', 'Rex Reason', 'Emile Meyer', 'Herbert Rudley', 'Robert J. Wilke', 'John Gavin', 'Gregg Barton', 'Ed Fury', 'William Schallert']",English,6.3
0028198,158480,Robinson Crusoe of Clipper Island (1936) ,"['Action', 'Adventure', 'Crime', 'Romance']","['chapter play', 'actor shares last name with character', 'san francisco california', 'california to australia maiden flight', 'espionage ring']",Ray Taylor,"['Mala', 'Rex', 'Buck the Dog', 'Mamo Clark', 'Herbert Rawlinson', 'William Newell', 'John Ward', 'John Dilson', 'Selmer Jackson', 'John Picorri', 'George Chesebro', 'Bob Kortman', 'George Cleveland', 'Lloyd Whitlock', 'Tiny Roebuck']",English,6.1
0490102,158484,Contergan (2007) ,['Drama'],"['thalidomide', '1960s', 'west germany', 'face slap', 'rejection']",Adolf Winkelmann,"['Benjamin Sadler', 'Katharina Wackernagel', 'Hans Werner Meyer', 'Caroline Peters', 'Matthias Brandt', 'Bernd Stegemann', 'Jürgen Schornagel', 'Peter Fitz', 'August Zirner', 'Sylvester Groth', 'Dörte Lyssewski', 'Ernst Stötzner', 'Stephan Kampwirth', 'Laura Tonke', 'Irene Rindje']",German,7.3
0438427,158486,Side Effects (2005) ,"['Comedy', 'Drama', 'Romance']","['panties', 'bra', 'concealed nudity', 'strong female lead', 'strong female character']",Kathleen Slattery-Moschkau,"['Sandy Adell', 'David M. Ames', 'John Apple', 'Ron Baumgartner', 'Collin Spencer', 'Bill Bolz', 'Stacy Brickson', 'Nathan Caracter', 'Tom Christianson', 'Nathan Connor', 'Janet Cresson', 'Tom Curtis', 'Dorian DeMichele', 'David Durbin', 'Lee Ernst']",English,4.9
0034195,158489,Six-Gun Gold (1941) ,"['Action', 'Music', 'Western']","['singing sidekick', 'b movie', 'b western', 'double feature film', 'damsel in distress']",David Howard,"['Tim Holt', 'Ray Whitley', 'Jan Clayton', ""Lee 'Lasses' White"", 'LeRoy Mason', 'Eddy Waller', 'Fern Emmett', 'Davison Clark', 'Harry Harvey', 'Slim Whitaker', 'Lane Chandler', 'Jim Corey', 'Six-Bar-B Cowboys']",English,6.2
4974396,158491,Stretch and Bobbito: Radio That Changed Lives (2015) ,"['Documentary', 'Music']","['rap music', 'freestyle rap', '1990s', 'radio dj', 'dj']",Bobbito Garcia,"['Anthony Alonso', 'Stretch Armstrong', 'B-Real', 'Janet Balis', 'Common', 'Crazy Legs', 'X-Men Crew', 'Rosario Dawson', 'Jewlz the Director', 'DJ Premier', 'DMX', 'Marc Ecko', 'El-P', 'Eminem', 'Lord Finesse']",English,8.0
0026120,158493,The Bishop Misbehaves (1935) ,"['Comedy', 'Crime']","['bishop', 'robbery', 'cathedral', 'pub', 'thief']",Ewald André Dupont,"['Edmund Gwenn', ""Maureen O'Sullivan"", 'Lucile Watson', 'Reginald Owen', 'Dudley Digges', 'Norman Foster', 'Lilian Bond', 'Melville Cooper', 'Robert Greig', 'Charles McNaughton', 'Etienne Girardot', 'Ivan F. Simpson', 'Lumsden Hare', 'Andy Clyde', 'Charles Coleman']",English,6.6
0026363,158496,The Flame Within (1935) ,['Drama'],"['psychiatrist', 'costume ball', 'doctor', 'hospital', 'charity benefit']",Edmund Goulding,"['Ann Harding', 'Herbert Marshall', ""Maureen O'Sullivan"", 'Louis Hayward', 'Henry Stephenson', 'Margaret Seddon', 'George Hassell', 'Eily Malyon', 'Isabelle Keith']",English,5.9
0036044,158499,The Iron Major (1943) ,"['Biography', 'Drama', 'Romance', 'Sport', 'War']","['manhattan new york city', 'bronx new york city', 'worcester massachusetts', 'wheelbarrow race', 'u.s. marine corps']",Ray Enright,"[""Pat O'Brien"", 'Ruth Warrick', 'Robert Ryan', 'Leon Ames', 'Russell Wade', 'Bruce Edwards', 'Richard Martin']",English,5.6
0024501,158504,The Right to Romance (1933) ,"['Drama', 'Romance']","['marriage', 'plastic surgeon', 'playboy', 'vacation', 'unrequited love']",Alfred Santell,"['Ann Harding', 'Robert Young', 'Nils Asther', 'Sari Maritza', 'Irving Pichel', 'Helen Freeman', 'Stephen Chase', 'Delmar Watson', 'Louise Carter', 'Bramwell Fletcher', ""Patricia O'Brien""]",English,6.1
0021345,158506,The Sea Bat (1930) ,"['Action', 'Romance', 'Thriller']","['caribbean island', 'underwater scene', 'sponge', 'convict', 'reward']",Lionel Barrymore,"['Raquel Torres', 'Charles Bickford', 'Nils Asther', 'George F. Marion', 'John Miljan', 'Boris Karloff', 'Gibson Gowland', 'Edmund Breese', 'Mathilde Comont', 'Mack Swain']",English,5.5
0049857,158508,Time Table (1956) ,"['Crime', 'Drama', 'Film-Noir', 'Mystery']","['riding a train', 'polio', 'shaped charge', 'smith & wesson snub nose 38 revolver', 'injection']",Mark Stevens,"['Mark Stevens', 'King Calder', 'Felicia Farr', 'Marianne Stewart', 'Wesley Addy', 'Alan Reed', 'Rodolfo Hoyos Jr.', 'Jack Klugman', 'John Marley']",English,6.7
0435995,158510,To the Ends of the Earth             ,['Drama'],"['navy', 'british navy', 'royal navy', 'sailing ship', 'ship']",Benedict Cumberbatch,"['Benedict Cumberbatch', 'Jared Harris', 'Jamie Sives', 'Richard McCabe', 'Victoria Hamilton', 'Tim Delap', 'Vanessa Pike', 'Jonathan Slinger', 'Robert Hobbs', 'Sam Neill', 'Chris Walker', 'Denise Black', 'Paula Jennings', 'Brian Pettifer', 'Tom Fisher', 'Daniel Evans', 'Theo Landey', 'Calum Callaghan', 'Adam Woolf', 'Jonathan Pienaar', 'Kirsty Motzouris', 'Kelly Motzouris', 'Daniel Newman', 'Danelle Drury', 'Damon Berry', 'Lionel Newton', 'JJ Feild', 'Niall Macgregor', 'James Gracie', 'Joanna Page']",English,7.2
0040887,158512,To the Ends of the Earth (1948) ,"['Crime', 'Film-Noir', 'Thriller']","['1930s', 'year 1935', 'underwater scene', 'shanghai', 'ship']",Robert Stevenson,"['Dick Powell', 'Signe Hasso', 'Maylia', 'Ludwig Donath', 'Vladimir Sokoloff', 'Edgar Barrier', 'John Hoyt', 'Marcel Journet', 'Luis Van Rooten', 'Fritz Leiber', 'Harry J. Anslinger']",English,7.0
0024674,158514,To the Last Man (1933) ,"['Action', 'Romance', 'Western']","['reference to robert e. lee', 'american civil war', 'civil war', 'arizona', 'arizona territory']",Henry Hathaway,"['Randolph Scott', 'Esther Ralston', 'Jack La Rue', 'Buster Crabbe', 'Barton MacLane', 'Noah Beery', 'Gail Patrick', 'Egon Brecher', 'Muriel Kirkland', 'Fuzzy Knight', 'James Eagles', 'Eugenie Besserer', 'Harlan Knight', 'Jay Ward']",English,6.4
0032060,158516,Trouble in Sundown (1939) ,['Western'],[],David Howard,"[""George O'Brien"", 'Rosalind Keith', 'Ray Whitley', 'Chill Wills', 'Ward Bond', 'Cy Kendall', 'Howard Hickman', 'Monte Montague', 'John Dilson', 'Otto Yamaoka']",English,6.2
5275886,158518,Under the Gun (2016) ,['Documentary'],"['propaganda', 'buying a gun', 'archive footage', 'gun', 'america']",Stephanie Soechtig,"['Katie Couric', 'Ted Cruz']",English,5.5
0098558,158520,Under the Gun (1988) ,"['Action', 'Comedy']","['lawyer', 'cop', 'slingshot', 'death of brother', 'revenge']",James Sbardellati,"['Sam J. Jones', 'Vanessa Williams', 'John Russell', 'Michael Halsey', 'Nick Cassavetes', 'Steven Williams', 'Bill McKinney', 'Rockne Tarkington', 'Don Stark', 'Chris Mulkey', 'Michele Russell', 'Duane Tucker', 'Dan Tullis Jr.', 'James McIntire', 'Burton Collins']",English,4.9
0027196,158524,West Point of the Air (1935) ,['Drama'],"['u.s. army', 'death', 'american football', 'rescue', 'amputee']",Richard Rosson,"['Wallace Beery', 'Robert Young', 'Lewis Stone', ""Maureen O'Sullivan"", 'Russell Hardie', 'Rosalind Russell', 'James Gleason', 'Henry Wadsworth', 'Robert Taylor', 'Robert Livingston', 'Frank Conroy', 'G. Pat Collins', 'Ronnie Cosby', 'Bobby Caldwell', 'Marilyn Spinner']",English,5.9
2388856,158526,1 Chance 2 Dance (2014) ,"['Drama', 'Family']","['dancer', 'high school', '17 year old', 'intentionally misspelled title', 'dance']",Adam Deyoe,"['Lexi Giovagnoli', 'Justin Ray', 'Rae Latt', 'Poonam Basu', 'Emily Deahl', 'Teresa Biter', 'Mason Trueblood', 'Alexia Dox', 'Kalilah Harris', 'Adam Powell', 'Sean McBride', 'Alison Lees-Taylor', 'Diana Hart', 'Christopher M. Robbins', 'Vincent Giovagnoli']",English,4.8
4052882,158528,The Shallows (2016) ,"['Drama', 'Horror', 'Thriller']","['shark attack', 'shark', 'great white shark', 'trapped', 'woman in jeopardy']",Jaume Collet-Serra,"['Blake Lively', 'Óscar Jaenada', 'Angelo Josue Lozano Corzo', 'Joseph Salas', 'Brett Cullen', 'Sedona Legge', 'Pablo Calva', 'Diego Espejel', 'Janelle Bailey', 'Ava Dean', 'Chelsea Moody', 'Sully Seagull']",English,6.3
2620590,158530,Leatherface (2017) ,"['Crime', 'Horror', 'Thriller']","['texas', 'chainsaw', 'nurse', 'barn', 'sheriff']",Alexandre Bustillo,"['Stephen Dorff', 'Lili Taylor', 'Sam Strike', 'Vanessa Grasse', 'Finn Jones', 'Sam Coleman', 'Jessica Madsen', 'James Bloor', 'Christopher Adamson', 'Dimo Alexiev', 'Nathan Cooper', 'Dejan Angelov', 'Boris Kabakchiev', 'Lorina Kamburova', 'Hristo Milev']",English,5.0
5312232,158532,Sairat (2016) ,"['Drama', 'Romance']","['politician', 'love', 'caste differences', 'casteism', 'forbidden love']",Nagraj Manjule,"['Rinku Rajguru', 'Akash Thosar', 'Arbaz Shaikh', 'Tanaji Galgunde', 'Suresh Vishwakarma', 'Suraj Pawar', 'Anuja Mule', 'Bhushan Manjule', 'Chhaya Kadam', 'Rubina Inamdar', 'Nagraj Manjule', 'Shivam More', 'Mithunchandra Chaudhari', 'Bhakti Chavan', 'Ramchandra Dhumal']",Marathi,8.3
5210380,158536,Merry Kissmas (2015) ,"['Comedy', 'Drama', 'Romance']","['christmas caroling', 'cookie', 'cousin', 'hotel', 'marriage proposal']",Michael Feifer,"['Karissa Lee Staples', 'Brant Daugherty', ""David O'Donnell"", 'Brittany Underwood', 'Ion Overman', 'Roxanne Hart', 'Doris Roberts', 'Ben Levin', 'Keith Dobbins', 'Camille Balsamo', 'Shelby Janes', 'Corbin Timbrook', 'Mikayla Silverstein', 'Toni French', 'Susie Ganiere']",English,5.4
1655078,158538,Into the Universe with Stephen Hawking             ,['Documentary'],"['cosmology', 'tv mini series', 'time travel', 'big bang', 'universe']",Benedict Cumberbatch,"['Benedict Cumberbatch', 'Stephen Hawking']",English,8.6
2749282,158540,Papa Hemingway in Cuba (2015) ,"['Biography', 'Drama']",['cuba'],Bob Yari,"['Giovanni Ribisi', 'Joely Richardson', 'Adrian Sparks', 'Minka Kelly', 'Shaun Toub', 'James Remar', 'Anthony Molinari', 'Jeff Jonas', 'Roger Zamudio', 'Roque Moreno', 'Joseph Bertót', 'Alexis Díaz de Villegas', 'Rodrigo Obregón', 'Orian Suarez', 'Lorenzo Castillo']",English,6.3
0041107,158542,Alias Nick Beal (1949) ,"['Drama', 'Fantasy', 'Film-Noir', 'Mystery', 'Thriller']","['psychotronic film', 'district attorney', 'governor', 'politics', 'murder']",John Farrow,"['Ray Milland', 'Audrey Totter', 'Thomas Mitchell', 'George Macready', 'Fred Clark', 'Geraldine Wall', ""Henry O'Neill"", 'Darryl Hickman', 'Nestor Paiva', 'King Donovan', 'Charles Evans', 'Ernö Verebes', 'Douglas Spencer', 'Arlene Jenkins', 'Pepito Pérez']",English,7.1
0067303,158545,¡Viva la muerte... tua! (1971) ,"['Action', 'Adventure', 'Comedy', 'War', 'Western']","['yuma', 'yuma territorial prison', 'yuma prison', 'prison', 'yuma arizona']",Duccio Tessari,"['Franco Nero', 'Eli Wallach', 'Lynn Redgrave', 'Horst Janson', 'Eduardo Fajardo', 'José Moreno', 'Víctor Israel', 'Gisela Hahn', 'José Jaspe', 'Enrique Espinosa', 'Gunda Hiller', 'Furio Meniconi', 'Dan van Husen', 'Rudy Gaebel', 'Carla Mancini']",Italian,5.8
0200642,158547,For Y'ur Height Only (1981) ,"['Action', 'Adventure', 'Comedy']","['dwarf', 'martial arts', 'spy spoof', 'kung fu', 'organized crime']",Eddie Nicart,"['Weng Weng', 'Yehlen Catral', 'Carmi Martin', 'Anna Marie Gutierrez', 'Beth Sandoval']",Tagalog,5.8
0047505,158549,The Sleeping Tiger (1954) ,"['Drama', 'Thriller']","['british noir', 'man hits a woman', 'breaking a dish', 'broken dish', 'cup']",Joseph Losey,"['Dirk Bogarde', 'Alexis Smith', 'Alexander Knox', 'Hugh Griffith', 'Patricia McCarron', 'Maxine Audley', 'Glyn Houston', 'Harry Towb', 'Russell Waters', 'Billie Whitelaw', 'Fred Griffiths', 'Esma Cannon']",English,6.5
0049210,158551,The Intimate Stranger (1956) ,['Drama'],['british noir'],Joseph Losey,"['Richard Basehart', 'Mary Murphy', 'Constance Cummings', 'Roger Livesey', 'Faith Brook', 'Mervyn Johns', 'Vernon Greeves', 'André Mikhelson', 'David Lodge', 'Basil Dignam', 'Grace Denbeigh-Russell']",English,6.3
0051692,158553,The Gypsy and the Gentleman (1958) ,"['Drama', 'History', 'Romance']","['gypsy', 'inheritance', 'swindle', 'based on novel']",Joseph Losey,"['Melina Mercouri', 'Keith Michell', 'Flora Robson', 'Patrick McGoohan', 'June Laverick', 'Lyndon Brook', 'Helen Haye', 'Mervyn Johns', 'Laurence Naismith', 'Clare Austin', 'Catherine Feller', 'Nigel Green', 'Newton Blick', 'David Hart', 'John Salew']",English,5.5
0090070,158555,Steaming (1985) ,['Drama'],"['f rated', 'steam room', 'barefoot', 'washing hair', 'temper tantrum']",Joseph Losey,"['Vanessa Redgrave', 'Sarah Miles', 'Diana Dors', 'Patti Love', 'Brenda Bruce', 'Felicity Dean', 'Sally Sagoe', 'Anna Tzelniker']",English,6.0
0078170,158557,Les routes du sud (1978) ,['Drama'],"['cardinal direction in title', 'spanish civil war', 'sequel']",Joseph Losey,"['Yves Montand', 'Miou-Miou', 'Laurent Malet', 'France Lambiotte', 'José Luis Gómez', 'Jean Bouise', 'Maurice Bénichou', 'Didier Sauvegrain', 'Eugene Braun Munk', 'Claire Bretécher', 'Frances Vicens', 'Roger Planchon', 'Christian de Tillière', 'Jeannine Mestre', 'Guy Thomas']",French,5.9
0084829,158559,La truite (1982) ,"['Drama', 'Romance']","['trout farm', 'husband wife relationship', 'husband murders wife', 'female removes her clothes', 'female pubic hair']",Joseph Losey,"['Isabelle Huppert', 'Jean-Pierre Cassel', 'Jeanne Moreau', 'Daniel Olbrychski', 'Jacques Spiesser', 'Isao Yamagata', 'Jean-Paul Roussillon', 'Roland Bertin', 'Lisette Malidor', 'Craig Stevens', 'Ruggero Raimondi', 'Alexis Smith', 'Lucas Belvaux', 'Pierre Forget', 'Ippo Fujikawa']",French,5.9
4027270,158561,The Crossing 2 (2015) ,"['Drama', 'History', 'Romance', 'War']","['chinese revolution', 'war drama', 'chinese civil war', 'historical event', 'second part']",John Woo,"['Ziyi Zhang', 'Takeshi Kaneshiro', 'Xiaoming Huang', 'Hye-Kyo Song', 'Dawei Tong', 'Angeles Woo', 'Feihong Yu', 'Tony Yo-ning Yang', 'Masami Nagasawa', 'Denny Huang', 'Frank M. Ahearn', 'Shan Cong', 'Jack Kao', 'Hitomi Kuroki', 'Bowie Lam']",Cantonese,6.0
2825768,158563,The Outrageous Sophie Tucker (2014) ,['Documentary'],[],William Gazecki,"['Barbara Walters', 'Tony Bennett', 'Carol Channing', 'Michael Feinstein', 'Shecky Greene', 'Bruce Vilanch', 'Paul Anka', 'Kaye Ballard', 'Chubby Checker', 'Don Dellair', 'Joe Franklin', 'Jane Kean', 'Gerry Leader', 'Brenda Lee', 'Tony Martin']",English,7.4
0079806,158565,Rich Kids (1979) ,"['Comedy', 'Drama']","['divorce', 'sleep over', 'tween girl', 'walking the dog', 'waterbed']",Robert M. Young,"['Trini Alvarado', 'Jeremy Levy', 'Kathryn Walker', 'John Lithgow', 'Terry Kiser', 'David Selby', 'Roberta Maxwell', 'Paul Dooley', 'Irene Worth', 'Diane Stilwell', 'Dianne Kirksey', 'Olympia Dukakis', 'Jill Eikenberry', 'Kathryn Grody', 'Beatrice Winde']",English,6.5
0388154,158571,Mickybo and Me (2004) ,"['Comedy', 'Drama']","['ireland', 'children', 'belfast', 'based on play']",Terry Loane,"['John Joesph Mcneill', 'Niall Wright', 'Julie Walters', 'Ciarán Hinds', 'Adrian Dunbar', 'Gina McKee', 'Susan Lynch', 'Laine Megaw', 'Barbara Adair', 'Hannah Carnegie', 'Patricia Carson', 'Brendan Caskey', 'Charlie Clarke', 'Maria Connolly', 'Chris Corrigan']",English,7.2
0107987,158573,Roosters (1993) ,['Drama'],"['arizona', 'arizona desert', 'female nudity', 'based on play', 'independent film']",Robert M. Young,"['Edward James Olmos', 'Sarah Lassez', 'Sônia Braga', 'Maria Conchita Alonso', 'Danny Nucci', 'Valente Rodriguez', 'Mark Dacascos', 'L. Ignacio Gameros', 'Arin Pasquel Real', 'Grace Keagy', 'James Robert Lee', 'Frank Soto', 'William Warren', 'Maud Winchester', 'Luisa Leschin']",English,6.2
2838678,158575,A Royal Christmas (2014) ,"['Comedy', 'Family', 'Romance']","['seamstress', 'prince', 'butler', 'party', 'paternity']",Alex Zamm,"['Lacey Chabert', 'Stephen Hagan', 'Jane Seymour', 'Katherine Flynn', 'Simon Dutton', 'Mitchell Mullen', 'Katrina Nare', 'Diana Dumitrescu', 'Vlad Ianus', 'Kate Loustau', 'Ionut Grama', ""Alice O'Mahoney"", 'Anne Gould', 'Mihai Niculescu', 'Olivia Krevoy']",English,6.6
5157030,158577,Tor dei gui mou yan (2015) ,"['Horror', 'Thriller']","['giallo', 'hong kong giallo']",Nick Cheung,"['Nick Cheung', 'Amber Kuo', 'Louis Cheung', 'Sisley Choi', 'Angie Cheung', 'Jacky Cheung', 'Sam Ip', 'Philip Keung', 'Elena Kong', 'Kar Yan Lam', 'Andrew Lau', 'Jordan Seung-Yuen Lee', 'Lawrence Ng', 'Carmen Soup', 'Yu-Hong Wang']",Mandarin,5.8
4417522,158579,Dap huet cam mui (2015) ,"['Crime', 'Drama', 'Mystery', 'Thriller']","['hong kong giallo', 'giallo']",Philip Yung,"['Aaron Kwok', 'Elaine Jin', 'Patrick Tam', 'Jessie Li', 'Michael Ning', 'Maggie Siu', 'Harriet Yeung', 'Ellen Li', 'Yat-Long Li', 'Jacky Cai', 'Ronny Yuen', 'Eddie Chan', 'Lai-wun Chan', 'Siu-Bing Leung', 'Bing-Man Tam']",Cantonese,6.7
4076934,158581,Wo de te gong ye ye (2016) ,"['Action', 'Crime', 'Drama']","['violence', 'bodyguard', 'dementia', 'criminal', 'kung fu']",Sammo Kam-Bo Hung,"['Sammo Kam-Bo Hung', 'Jacqueline Chan', 'Qinqin Li', 'Andy Lau', 'James Lee Guy', 'Tomer Oz', 'Dean Shek', 'Karl Maka', 'Hark Tsui', 'Biao Yuen', 'Eddie Peng', 'Jun Hu', 'Jia Song', 'Shaofeng Feng', 'Wah Yuen']",Mandarin,5.8
1690542,158583,Final Sale (2011) ,"['Crime', 'Drama', 'Thriller']","['dumping a dead body', 'kidney transplant', 'crime family', 'illegal alien', 'spanish']",Andrew C. Erin,"['Laura Harris', 'Ivan Sergei', 'Kaitlin Doubleday', 'Jonathan LaPaglia', 'Daniel Roebuck', 'Robert Carradine', 'Adam Kaufman', 'Marco Rodríguez', 'Reynaldo Rosales', 'Alex Nesic', 'Christopher Maleki', 'Amy Van Horne', 'Aidee Salgado', 'Jaime Aymerich', 'Norma Maldonado']",English,5.4
0369258,158585,Bal-Kan-Kan (2005) ,"['Action', 'Adventure', 'Comedy', 'Crime', 'Drama', 'War']",['search'],Darko Mitrevski,"['Vlado Jovanovski', 'Adolfo Margiotta', 'Zvezda Angelovska', 'Branko Djuric', 'Antonella Troise', ""Jelisaveta 'Seka' Sablic"", 'Toni Mihajlovski', 'Emil Ruben', 'Miodrag Krivokapic', 'Petre Arsovski', 'Goran Ilic', 'Petar Bozovic', 'Dejan Acimovic', 'Nikola Kojo', 'Vasko Todorov']",Macedonian,7.7
0365089,158587,Sivi kamion crvene boje (2004) ,"['Adventure', 'Comedy', 'Romance', 'War']","['20th century', '1990s', 'year 1991', 'woman', 'man']",Srdjan Koljevic,"[""Srdjan 'Zika' Todorovic"", 'Aleksandra Balmazovic', 'Dragan Bjelogrlic', 'Bogdan Diklic', 'Boris Milivojevic', ""Milutin 'Mima' Karadzic"", 'Toma Kuruzovic', 'Michael Weitz', 'Raphael Biotteau', 'Zeljko Bozic', 'Djordje Brankovic', 'Zoran Brkljac', 'Milan Delcic', 'Bojan Dimitrijevic', 'Uros Djuric']",Serbian,7.4
0301634,158589,Mrtav 'ladan (2002) ,"['Comedy', 'Drama']","['train', 'brother', 'smuggling', 'sex', 'dead body']",Milorad Milinkovic,"['Nikola Djuricko', 'Sonja Kolacaric', 'Tara Manic', ""Srdjan 'Zika' Todorovic"", 'Nenad Jezdic', ""Slobodan 'Boda' Ninkovic"", 'Nikola Pejakovic', 'Milorad Mandic-Manda', ""Velimir 'Bata' Zivojinovic"", 'Olivera Markovic', 'Milica Mihajlovic', 'Branislav Zeremski', ""Miodrag 'Miki' Krstovic"", 'Radmila Zivkovic', 'Mihajlo Jovanovic']",Serbian,8.4
0496226,158591,Sedam i po (2006) ,"['Comedy', 'Drama']","['hare krishna', 'steroids', 'gym', 'pull ups', 'video tape']",Miroslav Momcilovic,"['Branislav Trifunovic', 'Nikola Vujovic', 'Milos Timotijevic', 'Marija Karan', 'Branko Vidakovic', 'Boris Komnenic', 'Nenad Jezdic', 'Gordan Kicic', 'Natasa Markovic', 'Ljubinka Klaric', ""Milan 'Lane' Gutovic"", 'Nikola Djuricko', 'Boris Milivojevic', 'Mira Stupica', 'Srdjan Miletic']",Serbian,7.8
